Compound_name,Extracted_name,Molecular_weight,Type,Efficiency_in_percent
OH-S @ MnO2,"[{'O': '1.0', 'H': '1.0'}, {'Mn': '1.0', 'O': '2.0'}]",103.943,Cath,100.0
Mn0.8Co0.2O,"[{'Mn': '0.8', 'Co': '0.2', 'O': '1.0'}]",71.736,Anod,71.0
CoMn2O4,"[{'Co': '1.0', 'Mn': '2.0', 'O': '4.0'}]",232.805,Anod,98.5
TiN @ CNT-S,"[{'Ti': '1.0', 'N': '1.0'}]",61.874,Cath,96.0
Li1.2Ni0.15Mn0.55Co0.1O2,"[{'Li': '1.2', 'Ni': '0.15', 'Mn': '0.55', 'Co': '0.1', 'O': '2.0'}]",85.23915000000001,Cath,85.0
Na4Fe3(PO4)2(P2O7),"[{'P': '4.0', 'O': '15.0', 'Na': '4.0', 'Fe': '3.0'}]",623.376,Cath,99.6
CoSe @ C,"[{'Co': '1.0', 'Se': '1.0'}, {'C': '1.0'}]",149.915,Cath,95.0
Li2S / KB / C,"[{'Li': '2.0', 'S': '1.0'}, {'K': '1.0', 'B': '1.0'}, {'C': '1.0'}]",107.859,Cath,100.0
Na0.8Li0.1Ni0.31Mn0.62O2,"[{'Na': '0.8', 'Li': '0.1', 'Ni': '0.31', 'Mn': '0.62', 'O': '2.0'}]",103.34039,Cath,76.0
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Anod,58.0
CN-480,"[{'C': '1.0', 'N': '1.0'}]",26.018,Anod,19.9
Sn / Na2Zr(PO4)2,"[{'Sn': '1.0'}, {'P': '2.0', 'O': '8.0', 'Na': '2.0', 'Zr': '1.0'}]",445.854,Anod,46.4
V2O5,"[{'V': '2.0', 'O': '5.0'}]",181.878,Cath,83.0
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,60.0
Fe2O3 @ TiO2,"[{'Fe': '2.0', 'O': '3.0'}, {'Ti': '1.0', 'O': '2.0'}]",239.552,Anod,61.0
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,97.0
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",182.6895,Cath,99.98
Sn4P3,"[{'Sn': '4.0', 'P': '3.0'}]",567.762,Anod,81.2
Li2NiF4-PEDOT,"[{'Li': '2.0', 'Ni': '1.0', 'F': '4.0'}]",148.565,Cath,6.0
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,84.3
LCO,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,98.0
MoO3 / C,"[{'Mo': '1.0', 'O': '3.0'}, {'C': '1.0'}]",155.958,Anod,72.5
LiCrO2Â·Li2MnO3,"[{'Li': '1.0', 'Cr': '1.0', 'O': '2.0'}]",90.934,Cath,85.0
BP-C,"[{'B': '1.0', 'P': '1.0'}]",41.784,Cath,98.7
ZnMn2O4,"[{'Zn': '1.0', 'Mn': '2.0', 'O': '4.0'}]",239.252,Anod,97.0
Na2MnP2O7,"[{'Na': '2.0', 'Mn': '1.0', 'P': '2.0', 'O': '7.0'}]",274.85900000000004,Cath,90.0
Nickel sulfide,"[{'Ni': '2.0', 'S': '3.0'}]",213.566,Cath,59.7
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",180.812,Cath,96.2
LiNi0.68Co0.10Mn0.22O2,"[{'Li': '1.0', 'Ni': '0.68', 'Co': '0.1', 'Mn': '0.22', 'O': '2.0'}]",96.8289,Cath,85.1
MnP,"[{'Mn': '1.0', 'P': '1.0'}]",85.912,Anod,78.8
PIN,"[{'P': '1.0', 'I': '1.0', 'N': '1.0'}]",171.881,Cath,100.0
LTO,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",109.744,Anod,91.0
FeSe2âC,"[{'Fe': '1.0', 'Se': '2.0'}]",213.787,Anod,52.55
MoS2-NP,"[{'Mo': '1.0', 'S': '2.0'}]",160.07,Anod,100.0
CuCo2O4,"[{'Cu': '1.0', 'Co': '2.0', 'O': '4.0'}]",245.408,Anod,82.0
LiTaO3âS,"[{'Li': '1.0', 'Ta': '1.0', 'O': '3.0'}]",235.887,Cath,97.4
Si / C / rGO,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,98.6
PVP-CNF,"[{'P': '2.0', 'V': '1.0'}]",112.8895,Anod,95.6
Si @ Li4Ti5O12,"[{'Si': '1.0'}, {'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",487.168,Anod,78.8
CoCu / graphene,"[{'Co': '1.0', 'Cu': '1.0'}]",122.479,Cath,92.0
Fe3O4 @ C,"[{'Fe': '3.0', 'O': '4.0'}, {'C': '1.0'}]",243.542,Anod,90.0
SnS2,"[{'Sn': '1.0', 'S': '2.0'}]",182.83,Anod,98.0
CoFe2O4,"[{'Co': '1.0', 'Fe': '2.0', 'O': '4.0'}]",234.619,Anod,39.0
SnO2-Fe2O3,"[{'Sn': '1.0', 'O': '2.0'}]",150.708,Anod,82.9
GeO2 / C,"[{'Ge': '1.0', 'O': '2.0'}, {'C': '1.0'}]",116.639,Anod,82.0
Fe2O3,"[{'Fe': '2.0', 'O': '3.0'}]",159.687,Anod,75.0
NVP @ C,"[{'N': '1.0', 'V': '1.0', 'P': '1.0'}, {'C': '1.0'}]",107.9335,Cath,99.0
Sb(H),"[{'H': '1.0', 'Sb': '1.0'}]",122.768,Anod,65.14
MnO2,"[{'Mn': '1.0', 'O': '2.0'}]",86.936,Anod,38.0
Si / Ag,"[{'Si': '1.0'}, {'Ag': '1.0'}]",135.955,Anod,83.4
C6Li,"[{'C': '6.0', 'Li': '1.0'}]",79.006,Anod,75.0
Li2MgSnO4,"[{'Li': '2.0', 'Mg': '1.0', 'Sn': '1.0', 'O': '4.0'}]",220.891,Anod,85.0
Se @ C,"[{'Se': '1.0'}, {'C': '1.0'}]",90.982,Cath,95.0
HPC / S,"[{'H': '1.0', 'P': '1.0', 'C': '1.0'}, {'S': '1.0'}]",76.053,Cath,100.0
LiNi0.76Mn0.14Co0.10O2,"[{'Li': '1.0', 'Ni': '0.76', 'Mn': '0.14', 'Co': '0.1', 'O': '2.0'}]",97.1293,Cath,88.0
Mg2Si,"[{'Mg': '2.0', 'Si': '1.0'}]",76.695,Anod,62.0
LiNi0.8Co0.15Al0.05O2,"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.15', 'Al': '0.05', 'O': '2.0'}]",96.08145,Cath,82.2
Sb2S3,"[{'Sb': '2.0', 'S': '3.0'}]",339.70000000000005,Anod,80.0
CuFe2O4,"[{'Cu': '1.0', 'Fe': '2.0', 'O': '4.0'}]",239.232,Anod,65.0
Sn(MoO4)2 / C,"[{'Mo': '2.0', 'O': '8.0', 'Sn': '1.0'}, {'C': '1.0'}]",450.613,Anod,60.4
Ni / Si,"[{'Ni': '1.0'}, {'Si': '1.0'}]",86.77799999999999,Anod,94.6
Mn2O3,"[{'Mn': '2.0', 'O': '3.0'}]",157.873,Anod,66.0
MnO,"[{'Mn': '1.0', 'O': '1.0'}]",70.937,Anod,72.0
CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anod,69.1
LiNi0.8Co0.1Al0.1O2,"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.1', 'Al': '0.1', 'O': '2.0'}]",94.4839,Cath,89.0
K0.09Ni[Fe(CN)6]0.71Â·6H2O,"[{'C': '4.26', 'N': '4.26', 'Fe': '0.71', 'K': '0.09', 'Ni': '1.0'}]",212.69845,Cath,100.0
LiV3O8 @ GO,"[{'Li': '1.0', 'V': '3.0', 'O': '8.0'}]",287.7565,Cath,100.0
MoO3 / G-47,"[{'Mo': '1.0', 'O': '3.0'}]",143.947,Anod,69.5
MgH2 / CoO,"[{'Mg': '1.0', 'H': '2.0'}, {'Co': '1.0', 'O': '1.0'}]",101.253,Anod,100.0
MnO / CNF,"[{'Mn': '1.0', 'O': '1.0'}, {'C': '1.0', 'N': '1.0', 'F': '1.0'}]",115.953,Anod,99.0
S / C,"[{'S': '1.0'}, {'C': '1.0'}]",44.071,Cath,100.0
RGO / TiO2 / Mn3O4 / Ti3C2Tx,"[{'Ti': '1.0', 'O': '2.0'}, {'Mn': '3.0', 'O': '4.0'}]",308.675,Anod,99.7
CoSe2,"[{'Co': '1.0', 'Se': '2.0'}]",216.875,Anod,96.0
Si / Ge,"[{'Si': '1.0'}, {'Ge': '1.0'}]",100.715,Anod,98.0
Ru / Ni,"[{'Ru': '1.0'}, {'Ni': '1.0'}]",159.76299999999998,Cath,95.4
LiNi1 / 3Co1 / 3Mn1 / 3O2,"[{'Li': '1.0', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",96.4535812,Cath,93.0
CuO,"[{'Cu': '1.0', 'O': '1.0'}]",79.545,Anod,99.0
Mn3O4,"[{'Mn': '3.0', 'O': '4.0'}]",228.81000000000003,Anod,73.24
Cu / Fe3O4,"[{'Cu': '1.0'}, {'Fe': '3.0', 'O': '4.0'}]",295.077,Anod,65.0
IrO2 / Co-N-rGO,"[{'Ir': '1.0', 'O': '2.0'}]",224.218,Cath,94.95
Ti2Nb10O29,"[{'Ti': '2.0', 'Nb': '10.0', 'O': '29.0'}]",1488.765,Anod,97.0
MnVO,"[{'Mn': '1.0', 'V': '1.0', 'O': '1.0'}]",121.8785,Anod,37.9
Li1.15(Ni0.36Mn0.64)0.85O2,"[{'Ni': '0.306', 'Mn': '0.544', 'Li': '1.15', 'O': '2.0'}]",87.82533000000001,Cath,82.0
Mn3O4 / C,"[{'Mn': '3.0', 'O': '4.0'}, {'C': '1.0'}]",240.82100000000003,Anod,100.0
In2O3,"[{'In': '2.0', 'O': '3.0'}]",277.637,Anod,58.3
Co0.85Se / NC-X,"[{'Co': '0.85', 'Se': '1.0'}, {'N': '1.0', 'C': '1.0'}]",155.08205,Anod,67.54
TiO2 @ C,"[{'Ti': '1.0', 'O': '2.0'}, {'C': '1.0'}]",91.876,Anod,84.2
Mn0.9Co0.1O,"[{'Mn': '0.9', 'Co': '0.1', 'O': '1.0'}]",71.3365,Anod,98.5
Tungsten oxide,"[{'W': '1.0', 'O': '3.0'}]",231.837,Anod,74.5
VO2,"[{'V': '1.0', 'O': '2.0'}]",82.9395,Anod,35.0
Na0.71CoO2,"[{'Na': '0.71', 'Co': '1.0', 'O': '2.0'}]",107.2539,Cath,100.0
PCNF,"[{'P': '1.0', 'C': '1.0', 'N': '1.0', 'F': '1.0'}]",75.99,Anod,44.0
NiCo2O4 @ MnO2-CNTs-3,"[{'Ni': '1.0', 'Co': '2.0', 'O': '4.0'}, {'Mn': '1.0', 'O': '2.0'}]",327.491,Cath,100.0
MoO2 / C,"[{'Mo': '1.0', 'O': '2.0'}, {'C': '1.0'}]",139.959,Anod,43.2
CuS,"[{'Cu': '1.0', 'S': '1.0'}]",95.606,Cath,98.8
Ni / PCNFO-S,"[{'Ni': '1.0'}, {'P': '1.0', 'C': '1.0', 'N': '1.0', 'F': '1.0', 'O': '1.0'}]",150.682,Cath,99.0
Cu / Sn,"[{'Cu': '1.0'}, {'Sn': '1.0'}]",182.256,Anod,100.0
Li[Li0.2Ni0.2Mn0.6]O2,"[{'Li': '1.2', 'Ni': '0.2', 'Mn': '0.6', 'O': '2.0'}]",85.0274,Cath,65.9
Na0.4Mn0.54Co0.46O2,"[{'Na': '0.4', 'Mn': '0.54', 'Co': '0.46', 'O': '2.0'}]",97.9697,Cath,88.0
LiNi0.6Co0.2Mn0.2O2,"[{'Li': '1.0', 'Ni': '0.6', 'Co': '0.2', 'Mn': '0.2', 'O': '2.0'}]",96.928,Cath,83.8
MnF2,"[{'Mn': '1.0', 'F': '2.0'}]",92.934,Anod,100.0
NMC,"[{'Li': '1.0', 'Ni': '1.0', 'Mn': '1.0', 'Co': '1.0', 'O': '2.0'}]",211.502,Cath,99.0
Na3V2(PO4)3,"[{'P': '3.0', 'O': '12.0', 'Na': '3.0', 'V': '2.0'}]",455.763,Cath,92.0
GeP,"[{'Ge': '1.0', 'P': '1.0'}]",103.604,Anod,78.0
SnO2âFe2O3 @ C,"[{'Sn': '1.0', 'O': '2.0'}, {'C': '1.0'}]",162.719,Anod,98.0
Li1.2Mn0.56Ni0.16Co0.08O2,"[{'Li': '1.2', 'Mn': '0.56', 'Ni': '0.16', 'Co': '0.08', 'O': '2.0'}]",85.19680000000001,Cath,91.7
ZnSnO3,"[{'Zn': '1.0', 'Sn': '1.0', 'O': '3.0'}]",232.087,Anod,35.1
LiNbO3,"[{'Li': '1.0', 'Nb': '1.0', 'O': '3.0'}]",147.84300000000002,Cath,90.2
Co9S8 / C-S,"[{'Co': '9.0', 'S': '8.0'}]",786.8770000000001,Cath,0.041
Mg2Sn,"[{'Mg': '2.0', 'Sn': '1.0'}]",167.32,Anod,97.0
SnSb0.14,"[{'Sn': '1.0', 'Sb': '0.14'}]",135.7564,Anod,93.0
Li1.2Mn0.6Ni0.1Co0.1O2,"[{'Li': '1.2', 'Mn': '0.6', 'Ni': '0.1', 'Co': '0.1', 'O': '2.0'}]",85.05140000000002,Cath,84.0
CdSe,"[{'Cd': '1.0', 'Se': '1.0'}]",191.381,Anod,5.03
Sb2O3,"[{'Sb': '2.0', 'O': '3.0'}]",291.517,Anod,97.97
SnS / rGO,"[{'Sn': '1.0', 'S': '1.0'}]",150.76999999999998,Anod,68.0
Li4Ti5O12,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",459.083,Anod,99.0
RuO2,"[{'Ru': '1.0', 'O': '2.0'}]",133.06799999999998,Anod,99.0
TiP2O7,"[{'Ti': '1.0', 'P': '2.0', 'O': '7.0'}]",221.808,Anod,90.0
Bi2MoO6 / rGO-20,"[{'Bi': '2.0', 'Mo': '1.0', 'O': '6.0'}]",609.904,Anod,98.47
ZnO,"[{'Zn': '1.0', 'O': '1.0'}]",81.37899999999999,Anod,70.0
SnS2 @ C,"[{'Sn': '1.0', 'S': '2.0'}, {'C': '1.0'}]",194.841,Anod,62.5
LiAl,"[{'Li': '1.0', 'Al': '1.0'}]",33.922,Anod,90.0
GeO2,"[{'Ge': '1.0', 'O': '2.0'}]",104.628,Anod,99.0
V2O3 / rGO,"[{'V': '2.0', 'O': '3.0'}]",149.88,Anod,100.0
Ferrocyanide,"[{'C': '6.0', 'N': '6.0', 'Fe': '1.0'}]",211.953,Cath,75.0
LiNi0.5Mn0.5O2,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '0.5', 'O': '2.0'}]",95.7535,Cath,78.0
SiO2,"[{'Si': '1.0', 'O': '2.0'}]",60.083,Anod,60.7
MoO2 / Mo2C / C,"[{'Mo': '1.0', 'O': '2.0'}, {'Mo': '2.0', 'C': '1.0'}, {'C': '1.0'}]",343.87000000000006,Anod,98.0
Zn0.9Ni0.025In0.075,"[{'Zn': '0.9', 'Ni': '0.025', 'In': '0.075'}]",68.92082500000001,Anod,98.0
MnCo2O4.5,"[{'Mn': '1.0', 'Co': '2.0', 'O': '4.5'}]",244.7995,Anod,72.0
Sn3O4,"[{'Sn': '3.0', 'O': '4.0'}]",420.126,Anod,97.0
GeP5 / C,"[{'Ge': '1.0', 'P': '5.0'}, {'C': '1.0'}]",239.511,Anod,100.0
Co3O4âNi @ Cu,"[{'Co': '3.0', 'O': '4.0'}, {'Cu': '1.0'}]",304.341,Anod,71.0
Ge @ C,"[{'Ge': '1.0'}, {'C': '1.0'}]",84.64099999999999,Anod,99.0
AlF3,"[{'Al': '1.0', 'F': '3.0'}]",83.976,Cath,98.1
MnO2 @ C @ MnO,"[{'Mn': '1.0', 'O': '2.0'}, {'C': '1.0'}, {'Mn': '1.0', 'O': '1.0'}]",169.884,Anod,76.4
Co3O4 @ C,"[{'Co': '3.0', 'O': '4.0'}, {'C': '1.0'}]",252.806,Anod,58.0
Co3O4,"[{'Co': '3.0', 'O': '4.0'}]",240.795,Anod,61.6
Co3V2O8,"[{'Co': '3.0', 'V': '2.0', 'O': '8.0'}]",406.674,Anod,68.8
Li1.2Mn0.534Ni0.133Co0.133O2,"[{'Li': '1.2', 'Mn': '0.534', 'Ni': '0.133', 'Co': '0.133', 'O': '2.0'}]",85.30715000000001,Cath,83.3
NVP / C-3,"[{'N': '1.0', 'V': '1.0', 'P': '1.0'}]",95.9225,Cath,99.5
HCN @ TiN-S,"[{'H': '1.0', 'C': '1.0', 'N': '1.0'}, {'Ti': '1.0', 'N': '1.0'}]",88.9,Cath,98.0
Mn3O4 @ Ti3+ / TiO2,"[{'Mn': '3.0', 'O': '4.0', 'Ti': '3.0'}, {'Ti': '1.0', 'O': '2.0'}]",452.27600000000007,Anod,100.0
YS-Fe2O3 @ C,"[{'Y': '1.0', 'S': '1.0'}, {'C': '1.0'}]",132.977,Anod,74.6
Na0.75Mn0.70Ni0.23O2,"[{'Na': '0.75', 'Mn': '0.7', 'Ni': '0.23', 'O': '2.0'}]",101.19649,Cath,43.0
NiO,"[{'Ni': '1.0', 'O': '1.0'}]",74.692,Anod,100.0
PNP @ CNTs,"[{'P': '2.0', 'N': '1.0'}]",75.955,Anod,100.0
VB2 / Ni,"[{'V': '1.0', 'B': '2.0'}, {'Ni': '1.0'}]",131.2545,Anod,85.6
SiO,"[{'Si': '1.0', 'O': '1.0'}]",44.084,Anod,60.4
Germanium phosphide,"[{'Ge': '3.0', 'P': '4.0'}]",341.786,Anod,88.0
Fe3O4,"[{'Fe': '3.0', 'O': '4.0'}]",231.531,Anod,38.0
Cu / Li,"[{'Cu': '1.0'}, {'Li': '1.0'}]",70.486,Anod,93.3
Mg-doped Li1.2Ni0.13Co0.13Mn0.54O,"[{'Li': '1.2', 'Ni': '0.13', 'Co': '0.13', 'Mn': '0.54', 'O': '2.0'}]",85.2839,Cath,86.1
Na3V2(PO4)3 / C,"[{'P': '3.0', 'O': '12.0', 'Na': '3.0', 'V': '2.0'}, {'C': '1.0'}]",467.774,Cath,98.8
MnO / C,"[{'Mn': '1.0', 'O': '1.0'}, {'C': '1.0'}]",82.948,Anod,69.2
SnSe0.5S0.5 / C,"[{'Sn': '1.0', 'Se': '0.5', 'S': '0.5'}, {'C': '1.0'}]",186.2365,Anod,70.0
FeP @ C,"[{'Fe': '1.0', 'P': '1.0'}, {'C': '1.0'}]",98.83,Anod,50.0
Li2MgSn4,"[{'Li': '2.0', 'Mg': '1.0', 'Sn': '4.0'}]",513.025,Anod,92.8
FeP / rGO / CNTs-S,"[{'Fe': '1.0', 'P': '1.0'}]",86.819,Cath,100.0
Si / Sn-Ni / C / Al,"[{'Si': '1.0'}, {'C': '1.0'}, {'Al': '1.0'}]",67.078,Anod,100.0
LiNi0.8Co0.2O2,"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.2', 'O': '2.0'}]",97.679,Cath,79.3
TiC / C-S,"[{'Ti': '1.0', 'C': '1.0'}]",59.878,Cath,98.7
LiNi1 / 3Co1 / 3Mn1 /,"[{'Li': '1.0', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '1.0'}]",101.0827458,Cath,93.0
Si20Co10C70,"[{'Si': '20.0', 'Co': '10.0', 'C': '70.0'}]",1991.8,Anod,83.3
Fe2F5 Â· H2O,"[{'H': '2.0', 'O': '1.0'}]",18.015,Cath,67.0
Li4Ti5O12 @ C,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}, {'C': '1.0'}]",471.094,Anod,99.0
CoSe2 @ C / CNTs,"[{'Co': '1.0', 'Se': '2.0', 'C': '1.0'}]",228.886,Anod,80.0
LiNi0.7Co0.15Mn0.15O2,"[{'Li': '1.0', 'Ni': '0.7', 'Co': '0.15', 'Mn': '0.15', 'O': '2.0'}]",97.10375,Cath,93.3
CNTs @ SnO2 / SnO / Sn,"[{'Sn': '1.0', 'O': '1.0'}, {'Sn': '1.0'}]",253.419,Anod,72.0
Li21Si5,"[{'Li': '21.0', 'Si': '5.0'}]",286.165,Anod,95.2
CoO,"[{'Co': '1.0', 'O': '1.0'}]",74.932,Anod,73.8
NiCo2O4,"[{'Ni': '1.0', 'Co': '2.0', 'O': '4.0'}]",240.555,Cath,91.0
NaCrO2,"[{'Na': '1.0', 'Cr': '1.0', 'O': '2.0'}]",106.984,Cath,55.0
CoCO3,"[{'Co': '1.0', 'C': '1.0', 'O': '3.0'}]",118.941,Anod,75.2
Zn2+-doped BaFe12O19,"[{'Ba': '1.0', 'Fe': '12.0', 'O': '19.0'}]",1111.451,Anod,90.0
VB2,"[{'V': '1.0', 'B': '2.0'}]",72.5615,Anod,82.0
Na3V2(PO4)2F3,"[{'P': '2.0', 'O': '8.0', 'Na': '3.0', 'V': '2.0', 'F': '3.0'}]",417.7869999999999,Cath,98.5
ZnSiP2 / C,"[{'Zn': '1.0', 'Si': '1.0', 'P': '2.0'}, {'C': '1.0'}]",167.424,Anod,99.5
MoS2 / C,"[{'Mo': '1.0', 'S': '2.0'}, {'C': '1.0'}]",172.081,Anod,99.0
NaI / Ni,"[{'Na': '1.0', 'I': '1.0'}, {'Ni': '1.0'}]",208.58300000000003,Cath,100.0
BiVO4,"[{'Bi': '1.0', 'V': '1.0', 'O': '4.0'}]",323.9175,Anod,67.0
CNT / CoS @ C,"[{'Co': '1.0', 'S': '1.0', 'C': '1.0'}]",103.004,Anod,99.6
NiMn2O4 @ rGO,"[{'Ni': '1.0', 'Mn': '2.0', 'O': '4.0'}]",232.56500000000003,Anod,61.7
MoTe2,"[{'Mo': '1.0', 'Te': '2.0'}]",351.15,Anod,99.0
VS2,"[{'V': '1.0', 'S': '2.0'}]",115.0615,Anod,94.0
Sn / C,"[{'Sn': '1.0'}, {'C': '1.0'}]",130.721,Anod,80.1
SiCO,"[{'Si': '1.0', 'C': '1.0', 'O': '1.0'}]",56.095000000000006,Anod,100.0
ZnFe2O4 @ C nano-whiskers,"[{'Zn': '1.0', 'Fe': '2.0', 'O': '4.0'}]",241.066,Anod,98.4
FeHCCo,"[{'Fe': '1.0', 'H': '1.0', 'C': '1.0', 'Co': '1.0'}]",127.797,Cath,99.6
FeFe(CN)6,"[{'C': '6.0', 'N': '6.0', 'Fe': '2.0'}]",267.798,Cath,93.2
S-TCS / ZnO(6),"[{'Zn': '1.0', 'O': '6.0'}]",161.374,Cath,99.5
CuO / Cu2O / Carbon,"[{'Cu': '1.0', 'O': '1.0'}, {'Cu': '2.0', 'O': '1.0'}]",222.636,Anod,99.0
RGO / WS2-S,"[{'W': '1.0', 'S': '2.0'}]",247.96,Cath,100.0
Zn2SnO4,"[{'Zn': '2.0', 'Sn': '1.0', 'O': '4.0'}]",313.46599999999995,Anod,96.0
