Compound_name,Extracted_name,Molecular_weight,Type,Voltage_in_V
Pt / C,"[{'Pt': '1.0'}, {'C': '1.0'}]",207.091,Anod,1.4
NVP @ C,"[{'N': '1.0', 'V': '1.0', 'P': '1.0'}, {'C': '1.0'}]",107.9335,Cath,2.2
LiNi0.75Mg0.125Ti0.125O2,"[{'Li': '1.0', 'Ni': '0.75', 'Mg': '0.125', 'Ti': '0.125', 'O': '2.0'}]",91.97925,Cath,2.85
LMO,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",180.812,Cath,3.0
LiNiPO4,"[{'Li': '1.0', 'Ni': '1.0', 'P': '1.0', 'O': '4.0'}]",160.603,Cath,0.3
MoS2,"[{'Mo': '1.0', 'S': '2.0'}]",160.07,Anod,0.45
NaLi0.2Ni0.2Mn0.6O2,"[{'Na': '1.0', 'Li': '0.2', 'Ni': '0.2', 'Mn': '0.6', 'O': '2.0'}]",101.0774,Cath,4.2
NaFeF3,"[{'Na': '1.0', 'Fe': '1.0', 'F': '3.0'}]",135.829,Cath,3.1
K0.22Fe[Fe(CN)6]0.805Â·4.01H2O,"[{'C': '4.83', 'N': '4.83', 'Fe': '1.805', 'K': '0.22'}]",235.068725,Cath,3.2
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,3.9
Li1.5Ni0.25Mn0.75O2+Î´,"[{'Li': '1.5', 'Ni': '0.25', 'Mn': '0.75', 'O': '2.0'}]",98.28475000000002,Cath,2.0
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,0.38
Si / C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,0.1
ZnO,"[{'Zn': '1.0', 'O': '1.0'}]",81.37899999999999,Anod,1.637
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,0.2
FeF3,"[{'Fe': '1.0', 'F': '3.0'}]",112.839,Cath,1.5
Li2MnSiO4 / C,"[{'Li': '2.0', 'Mn': '1.0', 'Si': '1.0', 'O': '4.0'}, {'C': '1.0'}]",172.91,Cath,2.26
LiVPO4F / C,"[{'Li': '1.0', 'V': '1.0', 'P': '1.0', 'O': '4.0', 'F': '1.0'}, {'C': '1.0'}]",183.8605,Cath,4.5
NiCo2O4,"[{'Ni': '1.0', 'Co': '2.0', 'O': '4.0'}]",240.555,Anod,4.5
LTO,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",109.744,Anod,0.8
Cu0.02Mg0.02,"[{'Cu': '0.02', 'Mg': '0.02'}]",1.75702,Cath,4.2
Fe2O3âCNT,"[{'Fe': '2.0', 'O': '3.0'}]",159.687,Cath,0.8
LiV3O8,"[{'Li': '1.0', 'V': '3.0', 'O': '8.0'}]",287.7565,Cath,3.69
MgH2,"[{'Mg': '1.0', 'H': '2.0'}]",26.321,Anod,0.042
LiC6,"[{'Li': '1.0', 'C': '6.0'}]",79.006,Anod,1.5
LiMnBO3,"[{'Li': '1.0', 'Mn': '1.0', 'B': '1.0', 'O': '3.0'}]",120.685,Cath,2.5
TiS2,"[{'Ti': '1.0', 'S': '2.0'}]",111.987,Cath,2.5
Na5V12O32,"[{'Na': '5.0', 'V': '12.0', 'O': '32.0'}]",1238.216,Cath,2.0
V10O24Â·12H2O,"[{'V': '10.0', 'O': '24.0'}]",893.391,Cath,1.7
LiNi0.8Co0.1Mn0.1O2,"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.1', 'Mn': '0.1', 'O': '2.0'}]",97.2795,Cath,4.5
Na0.67Mn0.65Ni0.2Co0.15O2,"[{'Na': '0.67', 'Mn': '0.65', 'Ni': '0.2', 'Co': '0.15', 'O': '2.0'}]",103.68955,Cath,1.5
Li 3 V 2 ( PO 4 ) 3 / C,"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}, {'C': '1.0'}]",419.624,Cath,3.0
LiMn1.5Ni0.5O4,"[{'Li': '1.0', 'Mn': '1.5', 'Ni': '0.5', 'O': '4.0'}]",182.6895,Cath,5.0
CoFe2O4 @ CNTs,"[{'Co': '1.0', 'Fe': '2.0', 'O': '4.0'}]",234.619,Cath,1.0
Li3V(MoO4)3,"[{'Mo': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '1.0'}]",551.5995,Cath,3.7
AgCu-MG,"[{'Ag': '1.0', 'Cu': '1.0'}]",171.416,Cath,1.1
V2O5,"[{'V': '2.0', 'O': '5.0'}]",181.878,Cath,1.5
LiNi0.45Mn0.45Co0.1O2,"[{'Li': '1.0', 'Ni': '0.45', 'Mn': '0.45', 'Co': '0.1', 'O': '2.0'}]",95.96525,Cath,4.3
Li4Ti5O12,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",459.083,Anod,3.0
NVPF @ C,"[{'N': '1.0', 'V': '1.0', 'P': '1.0', 'F': '1.0'}, {'C': '1.0'}]",126.9315,Cath,4.3
LiMnPO4,"[{'Li': '1.0', 'Mn': '1.0', 'P': '1.0', 'O': '4.0'}]",156.848,Cath,4.0
LiAl0.1C0.1Mn1.8O4,"[{'Li': '1.0', 'Al': '0.1', 'C': '0.1', 'Mn': '1.8', 'O': '4.0'}]",173.7237,Cath,4.8
Li1.2Ni0.2Mn0.6O2,"[{'Li': '1.2', 'Ni': '0.2', 'Mn': '0.6', 'O': '2.0'}]",85.0274,Cath,4.5
Sn / Na2Sn(PO4)2,"[{'Sn': '1.0'}, {'P': '2.0', 'O': '8.0', 'Na': '2.0', 'Sn': '1.0'}]",473.34,Anod,0.67
Sn(MoO4)2 / C,"[{'Mo': '2.0', 'O': '8.0', 'Sn': '1.0'}, {'C': '1.0'}]",450.613,Anod,3.0
Na0.8Li0.1Ni0.31Mn0.62O2,"[{'Na': '0.8', 'Li': '0.1', 'Ni': '0.31', 'Mn': '0.62', 'O': '2.0'}]",103.34039,Cath,4.4
Co @ PNCS-2,"[{'Co': '1.0'}, {'P': '1.0', 'N': '1.0', 'C': '1.0', 'S': '1.0'}]",147.985,Cath,0.17
Na-doped Li 3 V 2 ( PO 4 ) 3,"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}]",407.613,Cath,3.0
LiNi0.6Co0.2Mn0.2O2,"[{'Li': '1.0', 'Ni': '0.6', 'Co': '0.2', 'Mn': '0.2', 'O': '2.0'}]",96.928,Cath,4.6
BP-Al,"[{'B': '1.0', 'P': '1.0'}]",41.784,Cath,2.3
CuS,"[{'Cu': '1.0', 'S': '1.0'}]",95.606,Cath,1.1
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Anod,0.6
NiS / NHCS,"[{'Ni': '1.0', 'S': '1.0'}, {'N': '1.0', 'H': '1.0', 'C': '1.0', 'S': '1.0'}]",149.839,Cath,1.5
Ni(OH)2 / CNTs,"[{'O': '2.0', 'H': '2.0', 'Ni': '1.0'}]",92.707,Cath,0.1
NaVPO4F,"[{'Na': '1.0', 'V': '1.0', 'P': '1.0', 'O': '4.0', 'F': '1.0'}]",187.8995,Cath,0.8
Cu2Sb,"[{'Cu': '2.0', 'Sb': '1.0'}]",248.852,Anod,1.05
RuO2 @ m-BCN,"[{'Ru': '1.0', 'O': '2.0'}, {'B': '1.0', 'C': '1.0', 'N': '1.0'}]",169.896,Cath,4.2
SnSb,"[{'Sn': '1.0', 'Sb': '1.0'}]",240.47,Anod,2.0
CoSe2,"[{'Co': '1.0', 'Se': '2.0'}]",216.875,Anod,3.0
CoCr2O4,"[{'Co': '1.0', 'Cr': '2.0', 'O': '4.0'}]",226.921,Anod,1.2
GeP5 / C,"[{'Ge': '1.0', 'P': '5.0'}, {'C': '1.0'}]",239.511,Anod,0.7
K3V2(PO4)2F3,"[{'P': '2.0', 'O': '8.0', 'K': '3.0', 'V': '2.0', 'F': '3.0'}]",466.111,Cath,3.75
SeS2,"[{'Se': '1.0', 'S': '2.0'}]",143.091,Cath,0.5
MnO2,"[{'Mn': '1.0', 'O': '2.0'}]",86.936,Cath,3.0
CaMnO3,"[{'Ca': '1.0', 'Mn': '1.0', 'O': '3.0'}]",143.013,Cath,0.2
VO2(B) / Mo,"[{'B': '1.0', 'V': '1.0', 'O': '2.0'}, {'Mo': '1.0'}]",189.6995,Cath,2.4
Li2Na2Ti6O14,"[{'Li': '2.0', 'Na': '2.0', 'Ti': '6.0', 'O': '14.0'}]",571.048,Anod,1.36
LiCo0.33Mn0.33Ni0.33O2,"[{'Li': '1.0', 'Co': '0.33', 'Mn': '0.33', 'Ni': '0.33', 'O': '2.0'}]",95.88412,Cath,4.5
Mo6S8,"[{'Mo': '6.0', 'S': '8.0'}]",832.1800000000001,Cath,1.1
SnS,"[{'Sn': '1.0', 'S': '1.0'}]",150.76999999999998,Anod,1.15
NaTi2(PO4)3 @ CNT,"[{'P': '3.0', 'O': '12.0', 'Na': '1.0', 'Ti': '2.0'}]",403.634,Anod,1.5
Copper oxide / sulphate,"[{'Cu': '2.0', 'O': '3.0'}, {'S': '1.0', 'O': '4.0'}]",271.145,Cath,0.1
Li1.05Ni1 / 3Co1 / 3Mn1 / 3O2,"[{'Li': '1.05', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",96.8005812,Cath,2.5
K0.5MnO2,"[{'K': '0.5', 'Mn': '1.0', 'O': '2.0'}]",106.485,Cath,1.5
"C @ N-C @ N,P-C","[{'C': '1.0'}, {'C': '1.0'}]",24.022,Cath,1.33
Na2NiFe(CN)6,"[{'C': '6.0', 'N': '6.0', 'Na': '2.0', 'Ni': '1.0', 'Fe': '1.0'}]",316.626,Cath,1.27
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,4.0
MoO3,"[{'Mo': '1.0', 'O': '3.0'}]",143.947,Anod,2.05
VOPO4 / C,"[{'V': '1.0', 'O': '5.0', 'P': '1.0'}, {'C': '1.0'}]",173.92149999999998,Cath,3.3
NVP,"[{'N': '1.0', 'V': '1.0', 'P': '1.0'}]",95.9225,Anod,2.0
NaMnF3,"[{'Na': '1.0', 'Mn': '1.0', 'F': '3.0'}]",134.922,Cath,3.84
KPB,"[{'K': '1.0', 'P': '1.0', 'B': '1.0'}]",80.882,Cath,3.66
LiCo1.09Mn0.91O4,"[{'Li': '1.0', 'Co': '1.09', 'Mn': '0.91', 'O': '4.0'}]",185.16655,Cath,3.2
Co3O4,"[{'Co': '3.0', 'O': '4.0'}]",240.795,Anod,0.99
K0.3MnO2,"[{'K': '0.3', 'Mn': '1.0', 'O': '2.0'}]",98.6654,Cath,4.0
Li2.1Ru0.9Co0.1O3,"[{'Li': '2.1', 'Ru': '0.9', 'Co': '0.1', 'O': '3.0'}]",159.4273,Cath,3.6
LiNi1 / 3Co1 / 3Mn1 / 3O2,"[{'Li': '1.0', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",96.4535812,Cath,4.6
Na0.44Mn0.6Ni0.4O2,"[{'Na': '0.44', 'Mn': '0.6', 'Ni': '0.4', 'O': '2.0'}]",98.5536,Cath,4.0
31-Na2C4O4,"[{'Na': '2.0', 'C': '4.0', 'O': '4.0'}]",158.02,Cath,3.85
SnS2 / CNTs,"[{'Sn': '1.0', 'S': '2.0'}]",182.83,Anod,0.6
Mn2O3 / LiMn2O4,"[{'Mn': '2.0', 'O': '3.0'}, {'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",338.68499999999995,Cath,4.15
NKVO @ V2O5,"[{'N': '1.0', 'K': '1.0', 'V': '1.0', 'O': '1.0'}, {'V': '2.0', 'O': '5.0'}]",301.9235,Anod,1.0
Co2P,"[{'Co': '2.0', 'P': '1.0'}]",148.84,Cath,3.5
Li2FeSiO4 / C,"[{'Li': '2.0', 'Fe': '1.0', 'Si': '1.0', 'O': '4.0'}, {'C': '1.0'}]",173.817,Cath,3.2
LiCoPO4,"[{'Li': '1.0', 'Co': '1.0', 'P': '1.0', 'O': '4.0'}]",160.84300000000002,Cath,5.0
H2SO4,"[{'H': '2.0', 'S': '1.0', 'O': '4.0'}]",98.072,Cath,1.23
Mn3V19-HIL / RGO-1,"[{'Mn': '3.0', 'V': '19.0'}]",1132.7025,Cath,3.5
Pd / PNCNF-3,"[{'Pd': '1.0'}, {'P': '1.0', 'N': '2.0', 'C': '1.0', 'F': '1.0'}]",196.417,Cath,4.14
5 V LiFe0.5Mn1.5O4,"[{'V': '1.0', 'Li': '1.0', 'Fe': '0.5', 'Mn': '1.5', 'O': '4.0'}]",232.207,Cath,5.0
NiO,"[{'Ni': '1.0', 'O': '1.0'}]",74.692,Anod,3.8
NaVOPO4 / C,"[{'Na': '1.0', 'V': '1.0', 'O': '5.0', 'P': '1.0'}, {'C': '1.0'}]",196.9115,Cath,2.8
Na2Ti3O7,"[{'Na': '2.0', 'Ti': '3.0', 'O': '7.0'}]",301.574,Anod,3.1
Lithium oxide,"[{'Li': '2.0', 'O': '1.0'}]",29.879,Cath,4.8
Li[Co-Ni]PO4,"[{'Li': '1.0', 'Co': '1.0'}]",65.873,Cath,4.5
PbO2 lead acid,"[{'Pb': '1.0', 'O': '2.0'}]",239.198,Cath,1.2
SnO2,"[{'Sn': '1.0', 'O': '2.0'}]",150.708,Anod,0.8
Ferrous chloride,"[{'Fe': '1.0', 'Cl': '2.0'}]",126.745,Cath,0.24
CuO,"[{'Cu': '1.0', 'O': '1.0'}]",79.545,Cath,1.4
Na3V2(PO4)3 / C,"[{'P': '3.0', 'O': '12.0', 'Na': '3.0', 'V': '2.0'}, {'C': '1.0'}]",467.774,Cath,2.65
Mn3O4 / Fe3O4,"[{'Mn': '3.0', 'O': '4.0'}, {'Fe': '3.0', 'O': '4.0'}]",460.341,Anod,0.73
LiNi0.4Mn0.4Co0.2O2,"[{'Li': '1.0', 'Ni': '0.4', 'Mn': '0.4', 'Co': '0.2', 'O': '2.0'}]",96.177,Cath,4.5
LiNi0.8Co0.2O2,"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.2', 'O': '2.0'}]",97.679,Cath,3.6
Li2NaV2(PO4)3,"[{'P': '3.0', 'O': '12.0', 'Li': '2.0', 'Na': '1.0', 'V': '2.0'}]",423.663,Anod,1.0
CNT / CoS @ C,"[{'Co': '1.0', 'S': '1.0', 'C': '1.0'}]",103.004,Anod,3.0
MnO,"[{'Mn': '1.0', 'O': '1.0'}]",70.937,Cath,1.0
Li1.05Mn1.96O4,"[{'Li': '1.05', 'Mn': '1.96', 'O': '4.0'}]",178.96148000000002,Cath,4.0
FeS2,"[{'Fe': '1.0', 'S': '2.0'}]",119.965,Anod,1.7
LiFePO4 / C,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",169.766,Cath,3.3
S / C,"[{'S': '1.0'}, {'C': '1.0'}]",44.071,Cath,2.04
Cu2Se,"[{'Cu': '2.0', 'Se': '1.0'}]",206.063,Cath,0.2
LiNa2V2(PO4)3,"[{'P': '3.0', 'O': '12.0', 'Li': '1.0', 'Na': '2.0', 'V': '2.0'}]",439.713,Anod,3.0
AlN,"[{'Al': '1.0', 'N': '1.0'}]",40.989,Anod,0.65
Sb2Se3,"[{'Sb': '2.0', 'Se': '3.0'}]",480.433,Anod,0.05
LiNi0.5Co0.2Mn0.3O2,"[{'Li': '1.0', 'Ni': '0.5', 'Co': '0.2', 'Mn': '0.3', 'O': '2.0'}]",96.5525,Cath,3.0
SIB,"[{'S': '1.0', 'I': '1.0', 'B': '1.0'}]",169.77,Cath,4.0
Polypyrrole,"[{'C': '4.0', 'H': '3.0', 'N': '1.0'}]",65.075,Cath,0.78
CoCO3,"[{'Co': '1.0', 'C': '1.0', 'O': '3.0'}]",118.941,Anod,0.96
LiNi0.5Co0.5O2,"[{'Li': '1.0', 'Ni': '0.5', 'Co': '0.5', 'O': '2.0'}]",97.751,Cath,5.0
Pt / O2,"[{'Pt': '1.0'}, {'O': '2.0'}]",227.078,Cath,0.45
Fluorine-doped Na3V2(PO4)2F3,"[{'P': '2.0', 'O': '8.0', 'Na': '3.0', 'V': '2.0', 'F': '3.0'}]",417.7869999999999,Cath,1.62
Fe2GeO4 @ C,"[{'Fe': '2.0', 'Ge': '1.0', 'O': '4.0'}, {'C': '1.0'}]",260.327,Anod,3.8
K2FeO4,"[{'K': '2.0', 'Fe': '1.0', 'O': '4.0'}]",198.037,Cath,0.55
MnS-(ZnCo)S / N-C,"[{'Mn': '1.0', 'S': '1.0'}]",86.998,Anod,3.0
NIB,"[{'N': '1.0', 'I': '1.0', 'B': '1.0'}]",151.717,Cath,4.5
NiOOH,"[{'Ni': '1.0', 'O': '2.0', 'H': '1.0'}]",91.699,Cath,1.15
NaCrO2,"[{'Na': '1.0', 'Cr': '1.0', 'O': '2.0'}]",106.984,Cath,3.0
LiNiO2,"[{'Li': '1.0', 'Ni': '1.0', 'O': '2.0'}]",97.631,Cath,2.5
Ni / PSU,"[{'Ni': '1.0'}, {'P': '1.0', 'S': '1.0', 'U': '1.0'}]",359.757,Cath,0.05
Li2S / KB / C,"[{'Li': '2.0', 'S': '1.0'}, {'K': '1.0', 'B': '1.0'}, {'C': '1.0'}]",107.859,Cath,2.1
LiMn306,"[{'Li': '1.0', 'Mn': '306.0'}]",16817.968,Cath,3.0
Zn0.9Ni0.025In0.075,"[{'Zn': '0.9', 'Ni': '0.025', 'In': '0.075'}]",68.92082500000001,Anod,0.8
SnO2 @ C,"[{'Sn': '1.0', 'O': '2.0'}, {'C': '1.0'}]",162.719,Anod,0.9
LiVPO4F,"[{'Li': '1.0', 'V': '1.0', 'P': '1.0', 'O': '4.0', 'F': '1.0'}]",171.84949999999998,Cath,4.1
Fe0.5TiOPO4,"[{'Fe': '0.5', 'Ti': '1.0', 'O': '5.0', 'P': '1.0'}]",186.7585,Anod,4.0
RuO2,"[{'Ru': '1.0', 'O': '2.0'}]",133.06799999999998,Cath,0.81
ZnS,"[{'Zn': '1.0', 'S': '1.0'}]",97.44,Anod,2.0
NaVPO4F / C,"[{'Na': '1.0', 'V': '1.0', 'P': '1.0', 'O': '4.0', 'F': '1.0'}, {'C': '1.0'}]",199.9105,Cath,1.0
Sulfate hydrate,"[{'S': '1.0', 'O': '4.0'}]",96.056,Cath,3.2
CNF-Bi2O3,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anod,0.22
NaI / Ni,"[{'Na': '1.0', 'I': '1.0'}, {'Ni': '1.0'}]",208.58300000000003,Cath,2.605
Ru / Ni,"[{'Ru': '1.0'}, {'Ni': '1.0'}]",159.76299999999998,Cath,2.9
Na0.7Fe0.4Mn0.4Co0.2O2,"[{'Na': '0.7', 'Fe': '0.4', 'Mn': '0.4', 'Co': '0.2', 'O': '2.0'}]",104.1908,Cath,4.1
LiFe0.6Cu0.2Mn1.2O4,"[{'Li': '1.0', 'Fe': '0.6', 'Cu': '0.2', 'Mn': '1.2', 'O': '4.0'}]",183.0778,Cath,2.63
LiNi0.75Co0.25O2,"[{'Li': '1.0', 'Ni': '0.75', 'Co': '0.25', 'O': '2.0'}]",97.691,Cath,3.0
C8H5NaO4,"[{'C': '8.0', 'H': '5.0', 'Na': '1.0', 'O': '4.0'}]",188.114,Anod,3.6
TiSO,"[{'Ti': '1.0', 'S': '1.0', 'O': '1.0'}]",95.926,Anod,0.759
Li12Si7,"[{'Li': '12.0', 'Si': '7.0'}]",279.875,Anod,0.7
Sn @ C,"[{'Sn': '1.0'}, {'C': '1.0'}]",130.721,Anod,2.0
NVPF,"[{'N': '1.0', 'V': '1.0', 'P': '1.0', 'F': '1.0'}]",114.9205,Cath,3.3
Ag / MnO2-3,"[{'Ag': '1.0'}, {'Mn': '1.0', 'O': '2.0'}]",194.806,Cath,0.91
LiFe0.2Mn1.8O4,"[{'Li': '1.0', 'Fe': '0.2', 'Mn': '1.8', 'O': '4.0'}]",180.9934,Cath,4.8
5 V LiNi0.5Mn1.5O4,"[{'V': '1.0', 'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",233.631,Cath,5.0
Phosphate,"[{'P': '1.0', 'O': '4.0'}]",94.97,Anod,1.5
NaNiO2,"[{'Na': '1.0', 'Ni': '1.0', 'O': '2.0'}]",113.681,Cath,3.38
NaBr / Ni,"[{'Na': '1.0', 'Br': '1.0'}, {'Ni': '1.0'}]",161.587,Cath,2.58
CaMnO3 / C,"[{'Ca': '1.0', 'Mn': '1.0', 'O': '3.0'}, {'C': '1.0'}]",155.024,Cath,1.85
Co0.85Se / NC-X,"[{'Co': '0.85', 'Se': '1.0'}, {'N': '1.0', 'C': '1.0'}]",155.08205,Anod,3.0
Li1.2Ni0.13Mn0.54Co0.13O2,"[{'Li': '1.2', 'Ni': '0.13', 'Mn': '0.54', 'Co': '0.13', 'O': '2.0'}]",85.2839,Cath,1.75
ZnSe-NC @ CoSe2-NC,"[{'Zn': '1.0', 'Se': '1.0'}, {'Co': '1.0', 'Se': '2.0'}]",361.226,Anod,1.72
MnO / C,"[{'Mn': '1.0', 'O': '1.0'}, {'C': '1.0'}]",82.948,Anod,0.5
LiNi0.6Co0.3Ti0.1O2,"[{'Li': '1.0', 'Ni': '0.6', 'Co': '0.3', 'Ti': '0.1', 'O': '2.0'}]",96.6204,Cath,4.2
Zn2Ti3O8,"[{'Zn': '2.0', 'Ti': '3.0', 'O': '8.0'}]",402.353,Anod,0.97
Li3N-Li,"[{'Li': '3.0', 'N': '1.0'}]",34.827,Anod,2.5
Ni / Si,"[{'Ni': '1.0'}, {'Si': '1.0'}]",86.77799999999999,Anod,1.5
Mn2O3,"[{'Mn': '2.0', 'O': '3.0'}]",157.873,Anod,3.0
MnCo2O4,"[{'Mn': '1.0', 'Co': '2.0', 'O': '4.0'}]",236.8,Cath,0.85
PdO / C,"[{'Pd': '1.0', 'O': '1.0'}, {'C': '1.0'}]",134.43,Cath,3.15
In2O3,"[{'In': '2.0', 'O': '3.0'}]",277.637,Cath,1.2
LiMn0.6Fe0.4PO4 / C,"[{'Li': '1.0', 'Mn': '0.6', 'Fe': '0.4', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",169.2218,Cath,4.08
Na3V3(PO4)4,"[{'P': '4.0', 'O': '16.0', 'Na': '3.0', 'V': '3.0'}]",601.6745000000001,Cath,3.9
Li2MnSiO4,"[{'Li': '2.0', 'Mn': '1.0', 'Si': '1.0', 'O': '4.0'}]",160.899,Cath,2.2
CoO / r-NLG,"[{'Co': '1.0', 'O': '1.0'}]",74.932,Cath,0.62
WO3,"[{'W': '1.0', 'O': '3.0'}]",231.837,Cath,4.5
SiCN,"[{'Si': '1.0', 'C': '1.0', 'N': '1.0'}]",54.103,Anod,0.9
