Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent,Conductivity_in_Siemens_per_cm
LiNi0.6Co0.2Mn0.2O2,"[{'Li': '1.0', 'Ni': '0.6', 'Co': '0.2', 'Mn': '0.2', 'O': '2.0'}]",96.928,Cath,145.5,4.6,83.8,
LiNi0.5Co0.3Mn0.2O2,"[{'Li': '1.0', 'Ni': '0.5', 'Co': '0.3', 'Mn': '0.2', 'O': '2.0'}]",96.952,Cath,135.4,,,
MnO @ NC-Z,"[{'Mn': '1.0', 'O': '1.0'}, {'N': '1.0', 'C': '1.0'}]",96.955,Anod,945.0,0.88,,
LiNi0.2Mn0.2Co0.6O2,"[{'Li': '1.0', 'Ni': '0.2', 'Mn': '0.2', 'Co': '0.6', 'O': '2.0'}]",97.024,Cath,160.0,,,
Na0.44MnO2,"[{'Na': '0.44', 'Mn': '1.0', 'O': '2.0'}]",97.0516,Cath,150.0,2.0,,
LiNi0.7Co0.15Mn0.15O2,"[{'Li': '1.0', 'Ni': '0.7', 'Co': '0.15', 'Mn': '0.15', 'O': '2.0'}]",97.10375,Cath,214.8,,93.3,
LiNi0.76Mn0.14Co0.10O2,"[{'Li': '1.0', 'Ni': '0.76', 'Mn': '0.14', 'Co': '0.1', 'O': '2.0'}]",97.1293,Cath,164.0,,88.0,
LiNi0.8Co0.1Mn0.1O2,"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.1', 'Mn': '0.1', 'O': '2.0'}]",97.2795,Cath,40.0,4.5,,
LiNi0.975Ti0.025O2,"[{'Li': '1.0', 'Ni': '0.975', 'Ti': '0.025', 'O': '2.0'}]",97.36035,Cath,171.0,,,
LiNi0.85Co0.075Mn0.075O2,"[{'Li': '1.0', 'Ni': '0.85', 'Co': '0.075', 'Mn': '0.075', 'O': '2.0'}]",97.367375,Cath,193.0,,,
ZnHCF,"[{'Zn': '1.0', 'H': '1.0', 'C': '1.0', 'F': '1.0'}]",97.397,Cath,65.4,,,
LiNi0.990Al0.005Ti0.005O2,"[{'Li': '1.0', 'Ni': '0.99', 'Al': '0.005', 'Ti': '0.005', 'O': '2.0'}]",97.418315,Cath,1.45,,,
ZnS,"[{'Zn': '1.0', 'S': '1.0'}]",97.44,Anod,650.0,2.0,,
,,97.4475,,,4.2,,
LiNi0.995Al0.005O2,"[{'Li': '1.0', 'Ni': '0.995', 'Al': '0.005', 'O': '2.0'}]",97.472445,Cath,0.81,4.4,,
LiNi0.475Mn0.475Zr0.05O2,"[{'Li': '1.0', 'Ni': '0.475', 'Mn': '0.475', 'Zr': '0.05', 'O': '2.0'}]",97.473925,Cath,220.0,,,
LiNi0.8Co0.15Mn0.05O2,"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.15', 'Mn': '0.05', 'O': '2.0'}]",97.47925,Cath,209.0,,,
,,97.49246,,,0.6,,
LiNi0.990Ti0.010O2,"[{'Li': '1.0', 'Ni': '0.99', 'Ti': '0.01', 'O': '2.0'}]",97.52274,Cath,175.0,,,
LiCo0.99Al0.01O2,"[{'Li': '1.0', 'Co': '0.99', 'Al': '0.01', 'O': '2.0'}]",97.55149,Cath,8.0,,,
LiNiO2,"[{'Li': '1.0', 'Ni': '1.0', 'O': '2.0'}]",97.631,Cath,224.0,2.5,,
LiNi0.9Co0.1O2,"[{'Li': '1.0', 'Ni': '0.9', 'Co': '0.1', 'O': '2.0'}]",97.655,Cath,193.0,,,
,,97.667,,,0.05,,
LiCo0.95Mn0.05O2,"[{'Li': '1.0', 'Co': '0.95', 'Mn': '0.05', 'O': '2.0'}]",97.67125,Cath,194.0,3.0,,
,,97.6766,,,1.5,,
LiNi0.8Co0.2O2,"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.2', 'O': '2.0'}]",97.679,Cath,208.0,3.6,79.3,
LiNi0.75Co0.25O2,"[{'Li': '1.0', 'Ni': '0.75', 'Co': '0.25', 'O': '2.0'}]",97.691,Cath,167.0,3.0,,
LiNi0.74Co0.26O2,"[{'Li': '1.0', 'Ni': '0.74', 'Co': '0.26', 'O': '2.0'}]",97.6934,Cath,210.0,,,
,,97.703,,,3.75,,
LiCo0.4Ni0.6O2,"[{'Li': '1.0', 'Co': '0.4', 'Ni': '0.6', 'O': '2.0'}]",97.727,Cath,140.0,,,
,,97.751,,,5.0,,
LiCo0.7Ni0.3O2,"[{'Li': '1.0', 'Co': '0.7', 'Ni': '0.3', 'O': '2.0'}]",97.799,Cath,140.0,2.8,,
Li(Co0.75Ni0.25)O2,"[{'Li': '1.0', 'Co': '0.75', 'Ni': '0.25', 'O': '2.0'}]",97.811,Cath,148.0,,,
LCO,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,195.0,3.9,98.0,3.0
,,97.88,,,2.8,,
LiNi0.975Ga0.025O2,"[{'Li': '1.0', 'Ni': '0.975', 'Ga': '0.025', 'O': '2.0'}]",97.90675,Cath,0.04,,,
Fluorophosphate,"[{'P': '1.0', 'O': '3.0', 'F': '1.0'}]",97.969,Cath,100.0,,,
Na0.4Mn0.54Co0.46O2,"[{'Na': '0.4', 'Mn': '0.54', 'Co': '0.46', 'O': '2.0'}]",97.9697,Cath,145.0,,88.0,
,,98.072,,,1.23,,
Li1.5Ni0.25Mn0.75O2+d,"[{'Li': '1.5', 'Ni': '0.25', 'Mn': '0.75', 'O': '2.0'}]",98.28475000000002,Cath,159.0,2.0,,
Li1.5Mn0.75Ni0.15Co0.10O2+Î´,"[{'Li': '1.5', 'Mn': '0.75', 'Ni': '0.15', 'Co': '0.1', 'O': '2.0'}]",98.30875,Cath,64.9,,,
Na0.44Mn0.6Ni0.4O2,"[{'Na': '0.44', 'Mn': '0.6', 'Ni': '0.4', 'O': '2.0'}]",98.5536,Cath,146.1,4.0,,
Li0.946Ca0.027CoO2,"[{'Li': '0.946', 'Ca': '0.027', 'Co': '1.0', 'O': '2.0'}]",98.578346,Cath,177.9,4.3,,
K0.3MnO2,"[{'K': '0.3', 'Mn': '1.0', 'O': '2.0'}]",98.6654,Cath,136.0,4.0,,
FeP @ C,"[{'Fe': '1.0', 'P': '1.0'}, {'C': '1.0'}]",98.83,Anod,363.0,1.08,50.0,
Na0.5Ni0.23Fe0.13Mn0.63O2,"[{'Na': '0.5', 'Ni': '0.23', 'Fe': '0.13', 'Mn': '0.63', 'O': '2.0'}]",98.86318,Cath,60.0,,,
SVO,"[{'S': '1.0', 'V': '1.0', 'O': '1.0'}]",99.0005,Cath,250.0,1.5,,
Si / Co / C,"[{'Si': '1.0'}, {'Co': '1.0'}, {'C': '1.0'}]",99.029,Anod,610.0,,,
Na0.5Ni0.25Mn0.75O2,"[{'Na': '0.5', 'Ni': '0.25', 'Mn': '0.75', 'O': '2.0'}]",99.36975,Cath,180.0,,,
FeS @ C,"[{'Fe': '1.0', 'S': '1.0'}, {'C': '1.0'}]",99.916,Anod,294.6,,,
Na0.67Ni0.25Mg0.1Mn0.65O2,"[{'Na': '0.67', 'Ni': '0.25', 'Mg': '0.1', 'Mn': '0.65', 'O': '2.0'}]",100.21475,Cath,63.0,,,
,,100.3264,,,4.5,,
Na0.80Li0.12Ni0.22Mn0.66O2,"[{'Na': '0.8', 'Li': '0.12', 'Ni': '0.22', 'Mn': '0.66', 'O': '2.0'}]",100.39434,Cath,118.0,4.2,,
Si / Ge,"[{'Si': '1.0'}, {'Ge': '1.0'}]",100.715,Anod,1720.0,,98.0,
Na0.6MnO2,"[{'Na': '0.6', 'Mn': '1.0', 'O': '2.0'}]",100.73,Cath,200.0,4.3,,
,,101.0774,,,4.2,,
,,101.0827458,,,,93.0,
KOH / CNF,"[{'K': '1.0', 'O': '1.0', 'H': '1.0'}, {'C': '1.0', 'N': '1.0', 'F': '1.0'}]",101.121,Anod,122.0,,,
Na0.6Co0.1Mn0.9O2,"[{'Na': '0.6', 'Co': '0.1', 'Mn': '0.9', 'O': '2.0'}]",101.1295,Cath,187.0,,,
Na0.75Mn0.7Ni0.23O2,"[{'Na': '0.75', 'Mn': '0.7', 'Ni': '0.23', 'O': '2.0'}]",101.19649,Cath,268.0,3.6,43.0,
,,101.253,,,0.075,100.0,
TiOF2,"[{'Ti': '1.0', 'O': '1.0', 'F': '2.0'}]",101.862,Anod,205.0,,,
VOCl,"[{'V': '1.0', 'O': '1.0', 'Cl': '1.0'}]",102.3905,Cath,124.7,,,
Li / CuS,"[{'Li': '1.0'}, {'Cu': '1.0', 'S': '1.0'}]",102.546,Cath,561.0,,,
Na0.67Fe0.5Mn0.5O2,"[{'Na': '0.67', 'Fe': '0.5', 'Mn': '0.5', 'O': '2.0'}]",102.7928,Cath,136.7,,,
CNT / CoS @ C,"[{'Co': '1.0', 'S': '1.0', 'C': '1.0'}]",103.004,Anod,341.0,3.0,99.6,
Na0.7MnO2,"[{'Na': '0.7', 'Mn': '1.0', 'O': '2.0'}]",103.029,Cath,140.9,3.9,,
Na0.67Co0.25Mn0.65Cr0.10O2,"[{'Na': '0.67', 'Co': '0.25', 'Mn': '0.65', 'Cr': '0.1', 'O': '2.0'}]",103.04385,Cath,86.0,,,
Na0.67Co0.25Mn0.75O2,"[{'Na': '0.67', 'Co': '0.25', 'Mn': '0.75', 'O': '2.0'}]",103.33805,Cath,52.79,2.4,,
Na0.8Li0.1Ni0.31Mn0.62O2,"[{'Na': '0.8', 'Li': '0.1', 'Ni': '0.31', 'Mn': '0.62', 'O': '2.0'}]",103.34039,Cath,80.0,4.4,76.0,
Na0.67Ni0.33Mn0.67O2,"[{'Na': '0.67', 'Ni': '0.33', 'Mn': '0.67', 'O': '2.0'}]",103.57845000000002,Cath,140.0,4.5,,
GeP,"[{'Ge': '1.0', 'P': '1.0'}]",103.604,Anod,520.0,2.5,78.0,
Na0.67Mn0.65Ni0.2Co0.15O2,"[{'Na': '0.67', 'Mn': '0.65', 'Ni': '0.2', 'Co': '0.15', 'O': '2.0'}]",103.68955,Cath,93.0,1.5,,
OH-S @ MnO2,"[{'O': '1.0', 'H': '1.0'}, {'Mn': '1.0', 'O': '2.0'}]",103.943,Cath,1155.0,2.35,100.0,
Na0.66Co0.5Mn0.5O2,"[{'Na': '0.66', 'Co': '0.5', 'Mn': '0.5', 'O': '2.0'}]",104.1069,Cath,156.1,,,
Li1.4Ni0.3Mn0.7O2.4,"[{'Li': '1.4', 'Ni': '0.3', 'Mn': '0.7', 'O': '2.4'}]",104.1781,Cath,329.6,4.3,,
,,104.1908,,,4.1,,
Li2NiO2,"[{'Li': '2.0', 'Ni': '1.0', 'O': '2.0'}]",104.571,Cath,337.0,,,
GeO2,"[{'Ge': '1.0', 'O': '2.0'}]",104.628,Anod,165.0,,99.0,
,,104.861,,,1.0,,
SiO2 @ CNF,"[{'Si': '1.0', 'O': '2.0'}, {'C': '1.0', 'N': '1.0', 'F': '1.0'}]",105.099,Anod,817.0,,,
Na0.95Cr0.95Ti0.05O2,"[{'Na': '0.95', 'Cr': '0.95', 'Ti': '0.05', 'O': '2.0'}]",105.62805,Cath,104.0,,,
,,105.8255,,,3.4,,
LiVO3,"[{'Li': '1.0', 'V': '1.0', 'O': '3.0'}]",105.8785,Cath,250.0,,,
Li1.5Ni0.25Mn0.75O2.5,"[{'Li': '1.5', 'Ni': '0.25', 'Mn': '0.75', 'O': '2.5'}]",106.28425,Cath,20.0,,,
K0.5MnO2,"[{'K': '0.5', 'Mn': '1.0', 'O': '2.0'}]",106.485,Cath,110.0,1.5,,
K0.45Mn0.5Co0.5O2,"[{'K': '0.45', 'Mn': '0.5', 'Co': '0.5', 'O': '2.0'}]",106.5276,Cath,83.0,3.9,,
NbN,"[{'Nb': '1.0', 'N': '1.0'}]",106.913,Anod,300.0,,,9.6
K0.5[Mn0.8Fe0.1Ni0.1]O2,"[{'K': '0.5', 'Mn': '0.8', 'Fe': '0.1', 'Ni': '0.1', 'O': '2.0'}]",106.9512,Cath,120.0,3.9,,
NaCrO2,"[{'Na': '1.0', 'Cr': '1.0', 'O': '2.0'}]",106.984,Cath,123.0,3.0,55.0,0.47
Na0.7CoO2,"[{'Na': '0.7', 'Co': '1.0', 'O': '2.0'}]",107.024,Cath,100.0,,,
,,107.2539,,,,100.0,
FeOCl,"[{'Fe': '1.0', 'O': '1.0', 'Cl': '1.0'}]",107.294,Cath,155.0,3.5,,
Li2S / KB / C,"[{'Li': '2.0', 'S': '1.0'}, {'K': '1.0', 'B': '1.0'}, {'C': '1.0'}]",107.859,Cath,400.0,2.1,100.0,
Zn0.76Co0.24S @ C,"[{'Zn': '0.76', 'Co': '0.24', 'S': '1.0'}, {'C': '1.0'}]",107.90372,Anod,579.0,,,
NVP / C,"[{'N': '1.0', 'V': '1.0', 'P': '1.0'}, {'C': '1.0'}]",107.9335,Cath,101.0,2.2,99.0,
Na0.74CoO2,"[{'Na': '0.74', 'Co': '1.0', 'O': '2.0'}]",107.9436,Cath,107.0,,,
Si @ TiO2,"[{'Si': '1.0'}, {'Ti': '1.0', 'O': '2.0'}]",107.95,Anod,2726.1,2.5,,
CS3,"[{'C': '1.0', 'S': '3.0'}]",108.191,Cath,238.1,,,
NaNi0.5Ti0.5O2,"[{'Na': '1.0', 'Ni': '0.5', 'Ti': '0.5', 'O': '2.0'}]",108.268,Cath,82.0,,,
Na @ NaPS-3,"[{'Na': '1.0'}, {'Na': '1.0', 'P': '1.0', 'S': '1.0'}]",109.014,Anod,106.0,,,
,,109.424,,,3.8,,
ZnS / C,"[{'Zn': '1.0', 'S': '1.0'}, {'C': '1.0'}]",109.451,Anod,268.0,0.05,,
LTO,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",109.744,Anod,161.0,0.8,91.0,
,,109.926,,,1.1,,
Na0.67Ni0.33Mn0.57Sn0.1O2,"[{'Na': '0.67', 'Ni': '0.33', 'Mn': '0.57', 'Sn': '0.1', 'O': '2.0'}]",109.95565,Cath,155.2,2.0,,
,,110.005,,,1.5,,
NaNi0.35Mn0.35Fe0.3O2,"[{'Na': '1.0', 'Ni': '0.35', 'Mn': '0.35', 'Fe': '0.3', 'O': '2.0'}]",111.51235,Cath,300.0,,,
NaNi0.5Mn0.5O2,"[{'Na': '1.0', 'Ni': '0.5', 'Mn': '0.5', 'O': '2.0'}]",111.8035,Cath,125.0,1.0,,
S @ TiO2 / GA-1,"[{'S': '1.0', 'Ti': '1.0', 'O': '2.0'}]",111.925,Cath,869.0,,,
Fe0.92Mn0.08Si2,"[{'Fe': '0.92', 'Mn': '0.08', 'Si': '2.0'}]",111.94244,Anod,210.0,,,
TiS2,"[{'Ti': '1.0', 'S': '2.0'}]",111.987,Cath,120.0,2.5,,
NaNi0.5Fe0.5O2,"[{'Na': '1.0', 'Ni': '0.5', 'Fe': '0.5', 'O': '2.0'}]",112.257,Cath,189.0,4.2,,
FeF3,"[{'Fe': '1.0', 'F': '3.0'}]",112.839,Cath,237.0,1.5,,
PVP,"[{'P': '2.0', 'V': '1.0'}]",112.8895,Cath,200.0,,95.6,
Na[Ni0.6Co0.2Mn0.2]O2,"[{'Na': '1.0', 'Ni': '0.6', 'Co': '0.2', 'Mn': '0.2', 'O': '2.0'}]",112.978,Cath,151.0,,,
,,113.02070000000002,,,4.1,,
Fe0.9Co0.1F3Â·0.5H2O,"[{'Fe': '0.9', 'Co': '0.1', 'F': '3.0'}]",113.1478,Cath,85.0,,,
,,113.439,,,3.0,,
,,113.681,,,3.38,,
,,114.3898,,,2.7,,
,,114.778,,,0.86,,
NVPF,"[{'N': '1.0', 'V': '1.0', 'P': '1.0', 'F': '1.0'}]",114.9205,Cath,115.0,3.3,,
VS2,"[{'V': '1.0', 'S': '2.0'}]",115.0615,Cath,1374.0,1.5,94.0,
FeCO3,"[{'Fe': '1.0', 'C': '1.0', 'O': '3.0'}]",115.853,Anod,1796.0,,,
Ni0.25Mn0.75CO3,"[{'Ni': '0.25', 'Mn': '0.75', 'C': '1.0', 'O': '3.0'}]",115.88475,Anod,1012.0,,,
,,115.953,,,,99.0,
,,116.639,,,,82.0,
Li2MnO3,"[{'Li': '2.0', 'Mn': '1.0', 'O': '3.0'}]",116.815,Cath,35.0,3.28,,
NiCo,"[{'Ni': '1.0', 'Co': '1.0'}]",117.626,Cath,105.0,,,
B2S3,"[{'B': '2.0', 'S': '3.0'}]",117.8,Anod,437.0,,,
Li5AlSi2,"[{'Li': '5.0', 'Al': '1.0', 'Si': '2.0'}]",117.852,Anod,900.0,,,
,,118.431,,,1.83,,
,,118.934,,,1.382,,
CoCO3,"[{'Co': '1.0', 'C': '1.0', 'O': '3.0'}]",118.941,Anod,1008.0,0.96,75.2,
S @ MnO2,"[{'S': '1.0'}, {'Mn': '1.0', 'O': '2.0'}]",118.996,Cath,760.0,2.1,,
CuFe-500,"[{'Cu': '1.0', 'Fe': '1.0'}]",119.391,Anod,194.6,,,
TiO2-NWs-C / Si / C,"[{'Ti': '1.0', 'O': '2.0'}, {'Si': '1.0'}, {'C': '1.0'}]",119.96099999999998,Anod,2200.0,,,
Si / C @ TiO2,"[{'Si': '1.0'}, {'C': '1.0', 'Ti': '1.0', 'O': '2.0'}]",119.961,Anod,1048.0,3.1,,
FeS2,"[{'Fe': '1.0', 'S': '2.0'}]",119.965,Cath,140.6,1.7,,
MoC / C,"[{'Mo': '1.0', 'C': '1.0'}, {'C': '1.0'}]",119.972,Anod,742.0,,,
LiMnBO3,"[{'Li': '1.0', 'Mn': '1.0', 'B': '1.0', 'O': '3.0'}]",120.685,Cath,222.0,2.5,,
PVK,"[{'P': '1.0', 'V': '1.0', 'K': '1.0'}]",121.0135,Cath,61.0,4.2,,
ZnS / C @ C,"[{'Zn': '1.0', 'S': '1.0'}, {'C': '2.0'}]",121.462,Anod,751.0,,,
LTO / C,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}, {'C': '1.0'}]",121.755,Anod,105.6,,,
MnVO,"[{'Mn': '1.0', 'V': '1.0', 'O': '1.0'}]",121.8785,Anod,752.0,0.2,37.9,
Ni / Cu,"[{'Ni': '1.0'}, {'Cu': '1.0'}]",122.239,Cath,40.0,2.6,,
,,122.479,,,2.5,92.0,
LiMn0.5Co0.5BO3,"[{'Li': '1.0', 'Mn': '0.5', 'Co': '0.5', 'B': '1.0', 'O': '3.0'}]",122.6825,Cath,110.0,,,
,,122.768,,,,65.14,
NiS2-40,"[{'Ni': '1.0', 'S': '2.0'}]",122.813,Cath,794.0,0.5,,
CoS2,"[{'Co': '1.0', 'S': '2.0'}]",123.053,Cath,835.0,,,
Li(Fe0.5Co0.5)BO3,"[{'Li': '1.0', 'Fe': '0.5', 'Co': '0.5', 'B': '1.0', 'O': '3.0'}]",123.136,Cath,120.0,,,
,,123.222,,,1.08,,
HPHC / Se,"[{'H': '2.0', 'P': '1.0', 'C': '1.0'}, {'Se': '1.0'}]",123.972,Cath,458.0,,,
NCF / Se,"[{'N': '1.0', 'C': '1.0', 'F': '1.0'}, {'Se': '1.0'}]",123.987,Cath,235.0,,,
Si @ AlF3 @ C,"[{'Si': '1.0'}, {'Al': '1.0', 'F': '3.0'}, {'C': '1.0'}]",124.072,Anod,1600.0,,,
Sulfur / C3N4,"[{'S': '1.0'}, {'C': '3.0', 'N': '4.0'}]",124.121,Cath,720.0,2.1,,
LiCoBO3,"[{'Li': '1.0', 'Co': '1.0', 'B': '1.0', 'O': '3.0'}]",124.68,Cath,98.0,4.0,,
S @ Ni(OH)2,"[{'S': '1.0'}, {'O': '2.0', 'H': '2.0', 'Ni': '1.0'}]",124.767,Cath,523.0,3.0,,
,,124.846,,,1.5,,
FeF3 / C,"[{'Fe': '1.0', 'F': '3.0'}, {'C': '1.0'}]",124.85,Cath,710.0,1.5,,
B2O3 / Fe,"[{'B': '2.0', 'O': '3.0'}, {'Fe': '1.0'}]",125.462,Anod,800.0,,,
Fe2N @ AC @ rGO,"[{'Fe': '2.0', 'N': '1.0'}]",125.697,Anod,303.0,,,
LiMnO4,"[{'Li': '1.0', 'Mn': '1.0', 'O': '4.0'}]",125.874,Cath,60.0,,,
,,126.053,,,0.6,,
,,126.745,,,0.24,,
NVPF @ C,"[{'N': '1.0', 'V': '1.0', 'P': '1.0', 'F': '1.0'}, {'C': '1.0'}]",126.9315,Cath,130.0,4.3,,
,,127.732,,,0.09,,
FeHCCo,"[{'Fe': '1.0', 'H': '1.0', 'C': '1.0', 'Co': '1.0'}]",127.797,Cath,116.0,,99.6,
MoO2,"[{'Mo': '1.0', 'O': '2.0'}]",127.948,Anod,523.0,0.35,,
MoS,"[{'Mo': '1.0', 'S': '1.0'}]",128.01,Cath,170.0,,,
,,128.785,,,2.92,,
Co0.85Se @ rGO,"[{'Co': '0.85', 'Se': '1.0'}]",129.06405,Anod,460.0,,,
,,129.59300000000002,,,2.6,,
MnO2 / o-CP,"[{'Mn': '1.0', 'O': '2.0'}, {'C': '1.0', 'P': '1.0'}]",129.921,Cath,180.0,,,
Sn / C,"[{'Sn': '1.0'}, {'C': '1.0'}]",130.721,Anod,425.0,2.0,80.1,
,,130.767,,,0.4,,
NVOPF / rGO,"[{'N': '1.0', 'V': '1.0', 'O': '1.0', 'P': '1.0', 'F': '1.0'}]",130.9195,Cath,87.2,,,
S @ MnO2 @ C,"[{'S': '1.0'}, {'Mn': '1.0', 'O': '2.0'}, {'C': '1.0'}]",131.007,Cath,703.3,,,
MnSiO3,"[{'Mn': '1.0', 'Si': '1.0', 'O': '3.0'}]",131.01999999999998,Anod,244.6,,,
VB2 / Ni,"[{'V': '1.0', 'B': '2.0'}, {'Ni': '1.0'}]",131.2545,Anod,2700.0,0.7,85.6,
FeS2 @ C,"[{'Fe': '1.0', 'S': '2.0'}, {'C': '1.0'}]",131.976,Cath,893.0,,,
LiMnBO3 / C,"[{'Li': '1.0', 'Mn': '1.0', 'B': '1.0', 'O': '3.0'}, {'C': '1.0'}]",132.696,Cath,120.0,4.5,,
Li2MnO4,"[{'Li': '2.0', 'Mn': '1.0', 'O': '4.0'}]",132.814,Cath,83.0,,,
YS-Fe2O3 @ C,"[{'Y': '1.0', 'S': '1.0'}, {'C': '1.0'}]",132.977,Anod,986.0,,74.6,
RuO2,"[{'Ru': '1.0', 'O': '2.0'}]",133.06799999999998,Anod,1130.0,0.81,99.0,
NiO / Ni / C-F,"[{'Ni': '1.0', 'O': '1.0'}, {'Ni': '1.0'}]",133.385,Anod,793.0,,,
LiFeBO3 / C,"[{'Li': '1.0', 'Fe': '1.0', 'B': '1.0', 'O': '3.0'}, {'C': '1.0'}]",133.603,Cath,69.0,,,
Sb / C,"[{'Sb': '1.0'}, {'C': '1.0'}]",133.77100000000002,Anod,650.0,,,
Co / CoO,"[{'Co': '1.0'}, {'Co': '1.0', 'O': '1.0'}]",133.865,Cath,500.0,,,
,,134.43,,,3.15,,
SnO,"[{'Sn': '1.0', 'O': '1.0'}]",134.709,Anod,1000.0,1.0,,
,,134.816,,,3.0,,
NiS2 / C,"[{'Ni': '1.0', 'S': '2.0'}, {'C': '1.0'}]",134.824,Cath,315.0,1.6,,
NaMnF3,"[{'Na': '1.0', 'Mn': '1.0', 'F': '3.0'}]",134.922,Cath,150.0,3.84,,
CoS2 / C,"[{'Co': '1.0', 'S': '2.0'}, {'C': '1.0'}]",135.064,Cath,805.0,,,
,,135.58420429999998,,,2.5,,
,,135.7564,,,,93.0,
Li3VO4 / CâNi,"[{'Li': '3.0', 'V': '1.0', 'O': '4.0'}]",135.7575,Anod,325.0,3.0,,
NaFeF3,"[{'Na': '1.0', 'Fe': '1.0', 'F': '3.0'}]",135.829,Cath,50.0,3.1,,
Si / Ag,"[{'Si': '1.0'}, {'Ag': '1.0'}]",135.955,Anod,1420.0,,83.4,
Na0.5NbO2,"[{'Na': '0.5', 'Nb': '1.0', 'O': '2.0'}]",136.399,Cath,68.3,,,
,,136.75,,,0.45,,
,,137.708,,,3.0,,
LiFeO4 / C,"[{'Li': '1.0', 'Fe': '1.0', 'O': '4.0'}, {'C': '1.0'}]",138.792,Cath,244.8,,,
NaCoF3,"[{'Na': '1.0', 'Co': '1.0', 'F': '3.0'}]",138.917,Cath,38.0,,,
,,139.743,,,2.5,,
MoO2 / C,"[{'Mo': '1.0', 'O': '2.0'}, {'C': '1.0'}]",139.959,Anod,1290.0,,43.2,
